ACPI Driver Trace Provider,{dab01d4d-2d48-477d-b1c3-daad0ce6f06b}
Active Directory Domain Services: SAM,{8e598056-8993-11d2-819e-0000f875a064}
Active Directory: Kerberos Client,{bba3add2-c229-4cdb-ae2b-57eb6966b0c4}
Active Directory: NetLogon,{f33959b4-dbec-11d2-895b-00c04f79ab69}
ADODB.1,{04c8a86f-3369-12f8-4769-24e484a9e725}
ADOMD.1,{7ea56435-3f2f-3f63-a829-f0b35b5cad41}
Application Error,{a0e9b465-b939-57d7-b27d-95d8e925ff57}
Application Hang,{c631c3dc-c676-59e4-2db3-5c0af00f9675}
Application Popup,{47bfa2b7-bd54-4fac-b70b-29021084ca8f}
Application-Addon-Event-Provider,{a83fa99f-c356-4ded-9fd6-5a5eb8546d68}
ATA Port Driver Tracing Provider,{d08bd885-501e-489a-bac6-b7d24bfe6bbf}
AuthFw NetShell Plugin,{935f4ae6-845d-41c6-97fa-380dad429b72}
BCP.1,{24722b88-df97-4ff6-e395-db533ac42a1e}
BFE Trace Provider,{106b464a-8043-46b1-8cb8-e92a0cd7a560}
BITS Service Trace,{4a8aaa94-cfc4-46a7-8e4e-17bc45608f0a}
Certificate Services Client CredentialRoaming Trace,{ef4109dc-68fc-45af-b329-ca2825437209}
Certificate Services Client Trace,{f01b7774-7ed7-401e-8088-b576793d7841}
Circular Kernel Session Provider,{54dea73a-ed1f-42a4-af71-3e63d056f174}
Classpnp Driver Tracing Provider,{fa8de7c4-acde-4443-9994-c4e2359a9edb}
Critical Section Trace Provider,{3ac66736-cc59-4cff-8115-8df50e39816b}
DBNETLIB.1,{bd568f20-fccd-b948-054e-db3421115d61}
Deduplication Tracing Provider,{5ebb59d1-4739-4e45-872d-b8703956d84b}
Disk Class Driver Tracing Provider,{945186bf-3dd6-4f3f-9c8e-9edd3fc9d558}
Downlevel IPsec API,{94335eb3-79ea-44d5-8ea9-306f49b3a041}
Downlevel IPsec NetShell Plugin,{e4ff10d8-8a88-4fc6-82c8-8c23e9462fe5}
Downlevel IPsec Policy Store,{94335eb3-79ea-44d5-8ea9-306f49b3a070}
Downlevel IPsec Service,{94335eb3-79ea-44d5-8ea9-306f49b3a040}
EA IME API,{e2a24a32-00dc-4025-9689-c108c01991c5}
Error Instrument,{cd7cf0d0-02cc-4872-9b65-0dba0a90efe8}
FD Core Trace,{480217a9-f824-4bd4-bbe8-f371caaf9a0d}
FD Publication Trace,{649e3596-2620-4d58-a01f-17aefe8185db}
FD SSDP Trace,{db1d0418-105a-4c77-9a25-8f96a19716a4}
FD WNet Trace,{8b20d3e4-581f-4a27-8109-df01643a7a93}
FD WSDAPI Trace,{7e2dbfc7-41e8-4987-bca7-76cadfad765f}
FDPHost Service Trace,{f1c521ca-da82-4d79-9ee4-d7a375723b68}
File Kernel Trace; Operation Set 1,{d75d8303-6c21-4bde-9c98-ecc6320f9291}
File Kernel Trace; Operation Set 2,{058dd951-7604-414d-a5d6-a56d35367a46}
File Kernel Trace; Optional Data,{7da1385c-f8f5-414d-b9d0-02fca090f1ec}
File Kernel Trace; Volume To Log,{127d46af-4ad3-489f-9165-f00ba64d5467}
FWPKCLNT Trace Provider,{ad33fa19-f2d2-46d1-8f4c-e3c3087e45ad}
FWPUCLNT Trace Provider,{5a1600d2-68e5-4de7-bcf4-1c2d215fe0fe}
Google.Chrome,{d2d578d9-2936-45b6-a09f-30e32715f42d}
Heap Trace Provider,{222962ab-6180-4b88-a825-346b75f2a24a}
IKEEXT Trace Provider,{106b464d-8043-46b1-8cb8-e92a0cd7a560}
IMAPI1 Shim,{1ff10429-99ae-45bb-8a67-c9e945b9fb6c}
IMAPI2 Concatenate Stream,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e9d}
IMAPI2 Disc Master,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e91}
IMAPI2 Disc Recorder,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e93}
IMAPI2 Disc Recorder Enumerator,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e92}
