AccEventTool,{72d164bf-fd64-4b2b-87a0-62dbcec9ae2a}
AchievementsNotifications,{a61241c7-959b-49c7-8d7d-383a580264ef}
ACPI Driver Trace Provider,{dab01d4d-2d48-477d-b1c3-daad0ce6f06b}
ActivatableTypeValidator,{21c5bd9e-6df1-4970-b527-45d609f36c4e}
ActivationManager,{cf7f94b3-08dc-5257-422f-497d7dc86ab3}
Active Directory Domain Services: SAM,{8e598056-8993-11d2-819e-0000f875a064}
Active Directory: Kerberos Client,{bba3add2-c229-4cdb-ae2b-57eb6966b0c4}
Active Directory: NetLogon,{f33959b4-dbec-11d2-895b-00c04f79ab69}
AddFoldersDialogProvider,{7f9524b3-43b8-5895-5445-4c9982e4dbed}
ADODB.1,{04c8a86f-3369-12f8-4769-24e484a9e725}
ADOMD.1,{7ea56435-3f2f-3f63-a829-f0b35b5cad41}
AdvancedInstallerPlatform,{696ac247-4e85-42e8-b0d2-fec2475c76ad}
AEATelemetrySourceProvider,{3970f9cf-2c0c-4f11-b1cc-e3a1e9958833}
AEATelemetrySourceProvider,{41065794-b1c4-5f0b-d189-2c789106b494}
Analog.HuP.PCIe.Bus,{60a1be0f-3fe4-4fe4-bc89-6ea30ca6b8a2}
AppInstaller.App,{f4296e10-4a0a-506c-7899-eb93382208e6}
Application Error,{a0e9b465-b939-57d7-b27d-95d8e925ff57}
Application Hang,{c631c3dc-c676-59e4-2db3-5c0af00f9675}
Application Popup,{47bfa2b7-bd54-4fac-b70b-29021084ca8f}
Application-Addon-Event-Provider,{a83fa99f-c356-4ded-9fd6-5a5eb8546d68}
AppxInstallerProvider,{f2673fa4-87aa-432d-8d87-583762ab586f}
AppxInstallProvider,{981922c7-da38-4838-2ba5-e8c526e7629e}
ATA Port Driver Tracing Provider,{d08bd885-501e-489a-bac6-b7d24bfe6bbf}
Atsb,{75313af4-61a6-435a-bd00-f7ab07d27f6f}
AttackSurfaceMonitor.Ast,{c4e507b1-7224-4737-bde0-ced9284e7073}
AuthFw NetShell Plugin,{935f4ae6-845d-41c6-97fa-380dad429b72}
Autopilot.Dll,{5f41c0a6-3b75-4596-8435-78d0ca2cf74e}
BackCompat,{2e5159ea-dfa6-40a8-95bd-825b6e021526}
BamoCodegen.MainClass,{ecedfa70-85ff-5d58-82e7-92090a140d29}
BCP.1,{24722b88-df97-4ff6-e395-db533ac42a1e}
BdeSvcTraceLoggingAggregateProvider,{ae255206-096b-59ae-0889-23bfdd98ee7a}
BdeSvcTraceLoggingProvider,{2c801909-d66e-4ae6-abb5-c92e19681aab}
BFE Trace Provider,{106b464a-8043-46b1-8cb8-e92a0cd7a560}
bing.speech,{dafaf5dd-d4ba-5bd5-3e44-d0635b7f8f3f}
BitLockerCSP.BitLocker.CSP.Get.Encryption.Method,{2681ea93-3793-4d5a-a9bf-7176688101a7}
BitLockerMDMUI.BitLocker.MDM.CheckBox,{f4f0f15b-6af1-4a58-ad83-a7c21a36b5cc}
BitLockerRPBackupMonitor,{6ecb20d3-12d7-5a8e-ad37-aff14180cd59}
BITS Service Trace,{4a8aaa94-cfc4-46a7-8e4e-17bc45608f0a}
BootEventCollector,{58fcb0fa-33b7-49d5-a8f0-30a1fe731efa}
BuildTraceLoggingProvider,{ba08113f-6e6c-4048-a9db-f1b1d7b08f0c}
Bumblelion,{dc217a21-cfdd-4265-a6e2-27a88776fba7}
BumblelionXboxLive,{f35c1c00-ce29-425b-a8f3-d3f0e693ae49}
CabViewerProvider,{7e9d9973-1f7e-55bf-9570-5a0ce1cf58c5}
CbsServicingProvider,{5fc48aed-2eb8-4cd4-9c87-54700c4b7b26}
Census,{262cde7a-5c84-46cf-9420-94963791ef69}
Certificate Services Client CredentialRoaming Trace,{ef4109dc-68fc-45af-b329-ca2825437209}
Certificate Services Client Trace,{f01b7774-7ed7-401e-8088-b576793d7841}
CFGCheckReleaseShare.RunCFGCheckOnShare,{f9eeefda-3322-5011-7b92-39d236eb548a}
Chat,{33c5672c-779d-4fdd-8a66-eba7a643d5ad}
Circular Kernel Session Provider,{54dea73a-ed1f-42a4-af71-3e63d056f174}
Classpnp Driver Tracing Provider,{fa8de7c4-acde-4443-9994-c4e2359a9edb}
CleanPCCSPTraceLoggingProvider,{3970f9cd-2c0c-4f11-b1cc-e3a1e9958833}
CloudLanguageServices,{f2760c9a-bf66-4871-b779-fff1e923d96b}
ClusApiTraceLogProvider,{3122168f-2432-45f0-b91c-3af363c14999}
com.microsoft.gpattribution.pc,{ba1a05f5-58de-4840-94e4-b33e65ee8e05}
CombaseTraceLoggingProvider,{1aff6089-e863-4d36-bdfd-3581f07440be}
ConnectedStorageService,{0943f054-eca9-4b9b-9d8f-bc42377f94d0}
COQTestRelevancy,{83cb7a7b-11a1-246c-0b09-affa1583123a}
CrashDumpService,{4abaedc4-3457-4105-ad40-7018e5fbc17b}
Critical Section Trace Provider,{3ac66736-cc59-4cff-8115-8df50e39816b}
CustomInstall,{24241768-581f-4239-9994-ed874701a2f5}
D3D11_1x,{7b797c26-59b1-4e3f-b1e7-d17e9b0c6a7f}
DataCollectionUploader,{1359cc39-786a-47ae-af4c-38cc5ef364c2}
DBNETLIB.1,{bd568f20-fccd-b948-054e-db3421115d61}
DdeTestProvider,{bbcddc81-0423-4f27-bf57-6619e6bf85cc}
Deduplication Tracing Provider,{5ebb59d1-4739-4e45-872d-b8703956d84b}
DeploymentTelemetry,{ccd799b7-c440-4125-b5d3-030ce84af295}
DerivedTelemetryEvent,{5ee0c35c-eb19-4bd8-b873-2edccc8cbe17}
DESkyBackupProvider.BitLocker.AAD,{00a85728-5a3d-4b9e-b24b-9a14cce5f322}
DEUITraceLoggingProvider.BitLocker.CFveUiDispatch,{89467242-6dcd-4d99-a6ed-55d0c19eec09}
Dev.Evt,{11917bc2-4136-5f9e-1eea-307380a25c4e}
Dev.Not,{3b456002-db70-5be1-c90e-473d8b9c4eb7}
DeviceEncryptionToggle,{7cb80baf-9cb1-4a30-bd2c-69b458b7eb44}
DeviceUpdateAgentTelemetry,{e63ffaff-c895-56e3-2674-a70177f3f196}
DEWizardTraceLoggingProvider.BitLocker.CFveuipManagerWizardData,{5c86354e-81c8-4138-96e0-f50301ff8648}
DiagnosticsLogCollector,{19faa330-d0d5-59de-b94b-234bd1005e70}
DiffGen,{1d682696-676a-547d-532c-5253b7a06e3d}
Disk Class Driver Tracing Provider,{945186bf-3dd6-4f3f-9c8e-9edd3fc9d558}
DISMCLI,{ad05f58e-fc71-40be-9f09-f258111ba160}
DismWimProviderDll,{92cf4545-bb71-4511-a96f-53657f8fb8d9}
DllProxyInfoToXml.Program+DllToProxyInfoXmlTool,{d9c69151-c1b2-5279-e4fb-4f8874de9cd5}
Domino.ETWLogger,{60f396bc-d4b4-5269-cccf-52975b613bb6}
DotNet.CLR,{319dc449-ada5-50f7-428e-957db6791668}
Downlevel IPsec API,{94335eb3-79ea-44d5-8ea9-306f49b3a041}
Downlevel IPsec NetShell Plugin,{e4ff10d8-8a88-4fc6-82c8-8c23e9462fe5}
Downlevel IPsec Policy Store,{94335eb3-79ea-44d5-8ea9-306f49b3a070}
Downlevel IPsec Service,{94335eb3-79ea-44d5-8ea9-306f49b3a040}
DownloadableContent,{67b768eb-35a1-4f19-8243-bd920f31f7ca}
DtvEventSourceProvider,{283f64fc-b582-5204-ac52-e8a12ad249f4}
DxgKrnlTelemdtry,{c6998471-62cd-424d-a9a3-fe4c1fa378a4}
EA IME API,{e2a24a32-00dc-4025-9689-c108c01991c5}
EAPRasTlsEvents,{06c071f2-6c59-5d55-6b31-1578dd063ddc}
EDPCleanupTraceLoggingProvider,{e42598b4-b399-41cd-a67c-a6b1b6007e07}
EpgService,{6b5713be-4cbc-4f0d-9523-71d048d12c90}
eracontrol,{68a8086a-e68d-4403-9a71-6f46fdde2162}
ERACrashDumpService,{4eb04bd3-7850-4c3c-9611-a3c31c7bafcb}
Error Instrument,{cd7cf0d0-02cc-4872-9b65-0dba0a90efe8}
EventAggregation,{29043218-3029-4be2-a6c1-b6763cecb3cc}
EventLogEvents,{bf30465b-e93c-46fd-9cdf-f41c8904a01f}
EventLogOsEvents,{1d5a5582-9c99-47ab-a8d2-6020c8c3be6b}
EvtgenTestTelemetryProvider,{4c66ea09-2903-444b-99e9-314e94cf2d9a}
ExpandDelayLoad.Program,{1a12c06a-7133-5569-2d70-64a3eaddbf60}
ExpressGen,{1161d8d7-5c38-568d-942f-3c4ba14ff62b}
F12ToolsProvider,{843baf24-ed4d-479c-9e8b-520901959c89}
F12ToolsProvider,{843BAF24-ED4D-479C-9E8B-520901959C89}
F12ToolsProvider.Chooser,{ba414efa-5a76-4350-8506-089848ebcd36}
FacilitatorTelemetry,{1116b7be-eb0e-400e-83e7-baaae6a0fa6a}
FailHash,{7837295f-27b6-5c7b-aad3-1bbaffc9e468}
FakeProvider.Fake,{478154de-093c-5e7c-a895-bda53e0d0350}
FD Core Trace,{480217a9-f824-4bd4-bbe8-f371caaf9a0d}
FD Publication Trace,{649e3596-2620-4d58-a01f-17aefe8185db}
FD SSDP Trace,{db1d0418-105a-4c77-9a25-8f96a19716a4}
FD WNet Trace,{8b20d3e4-581f-4a27-8109-df01643a7a93}
FD WSDAPI Trace,{7e2dbfc7-41e8-4987-bca7-76cadfad765f}
FDPHost Service Trace,{f1c521ca-da82-4d79-9ee4-d7a375723b68}
File Kernel Trace; Operation Set 1,{d75d8303-6c21-4bde-9c98-ecc6320f9291}
File Kernel Trace; Operation Set 2,{058dd951-7604-414d-a5d6-a56d35367a46}
File Kernel Trace; Optional Data,{7da1385c-f8f5-414d-b9d0-02fca090f1ec}
File Kernel Trace; Volume To Log,{127d46af-4ad3-489f-9165-f00ba64d5467}
FindLkg.Tests,{c5810bba-3883-543e-de0c-9cfc7142e480}
FsIsoTracelogProvider,{0a645885-cc18-4dec-ab0a-8aa890c13d3e}
FveAPILoggingProvider.BitLocker.CFveApi,{d0974663-5c08-408f-9445-35bb55075757}
FveDetectTelemetry,{b142eb8c-3426-11e7-b687-92ebcb67fe33}
FveVolTraceLogAggProvKM.Bitlocker.Driver,{7d97faf2-489e-45b6-b57d-e605898950e6}
FveVolTraceLogProvKM.Bitlocker.Driver,{1491f89f-c57d-4135-8e05-76f0f68124a8}
Fwong.Test.Provider,{2d59dd9e-e7a5-5be0-f736-3b77d6f7511a}
FWPKCLNT Trace Provider,{ad33fa19-f2d2-46d1-8f4c-e3c3087e45ad}
FWPUCLNT Trace Provider,{5a1600d2-68e5-4de7-bcf4-1c2d215fe0fe}
GameChat2,{53c640d6-8da8-4946-aa21-a86b95ff5224}
GameCoreController,{2216b6de-b82c-56a0-5760-0ce1b6322c13}
GameDiagnosticsProvider,{3fe506f8-3223-494f-b6ae-2f50b1c6f806}
GamesUX,{2cdcdd40-0902-44c0-aebb-5b9b1fc2572f}
GarrisonAppInstaller,{a5706c02-826c-5463-1dcc-dfef36a0dc74}
GenSimpleSpecs.Program,{0559bd0d-850e-5386-b8ef-00030aef6a52}
GlobalSpeechXCE,{f4d81b4a-af0b-46c4-baaf-5522ca1ebf35}
Google.Chrome,{d2d578d9-2936-45b6-a09f-30e32715f42d}
GVFS.Service,{7bd5d34e-114f-54a4-216b-fb5e0dc892c7}
HandwritingRecoLogging,{4e795bd3-b3d6-59a5-0a72-7eeed38967e2}
HcsTelemetryEventSource,{8575bc3f-bcf0-5def-c011-6813475ac40b}
HdmiCapture,{fefda5cc-f0f6-4272-863c-8c8e2d68d459}
Heap Trace Provider,{222962ab-6180-4b88-a825-346b75f2a24a}
HeTEvents,{22f2db36-8b36-4309-b45b-49977cdcc1f6}
HoganInstallerTelemetryProvider,{040d9d61-c52b-57b3-7779-0c80512333b8}
Holographic.ConnectedShell.Client,{205efa59-6ead-5f15-1524-21b66adc7016}
Holographic.ConnectedShell.Control,{a5861b2d-5172-5af6-0c21-6e6e769535df}
HomeLayoutTelemetry,{2646a144-d219-5763-5ef4-d700131f88cd}
Hub.DeviceConfig,{cba1e63c-c74a-5995-0f03-4421a3ee84d3}
IKEEXT Trace Provider,{106b464d-8043-46b1-8cb8-e92a0cd7a560}
IMAPI1 Shim,{1ff10429-99ae-45bb-8a67-c9e945b9fb6c}
IMAPI2 Concatenate Stream,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e9d}
IMAPI2 Disc Master,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e91}
IMAPI2 Disc Recorder Enumerator,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e92}
IMAPI2 Disc Recorder,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e93}
IMAPI2 dll,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e90}
IMAPI2 Interleave Stream,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e9e}
IMAPI2 Media Eraser,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e97}
IMAPI2 MSF,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e9f}
IMAPI2 Multisession Sequential,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7ea0}
IMAPI2 Pseudo-Random Stream,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e9c}
IMAPI2 Raw CD Writer,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e9a}
IMAPI2 Raw Image Writer,{07e397ec-c240-4ed7-8a2a-b9ff0fe5d581}
IMAPI2 Standard Data Writer,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e98}
IMAPI2 Track-at-Once CD Writer,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e99}
IMAPI2 Utilities,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e94}
IMAPI2 Write Engine,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e96}
IMAPI2 Zero Stream,{0e85a5a5-4d5c-44b7-8bda-5b7ab54f7e9b}
IMAPI2FS Tracing,{f8036571-42d9-480a-babb-de7833cb059c}
InfParserTelemetry,{059a2460-1077-115e-bdeb-5221de48b9e4}
InkAnalysisLoggingProvider,{fcad1076-c04f-4482-9a03-b5a37be6712d}
InkGrabLoggingProvider,{465f6cc6-f789-49cd-a328-cee4c08f41c2}
InputDiff,{5640358c-43d0-5306-f73d-02608565005b}
IntelPepTraceLoggingProvider,{9b82887e-0d74-4a2e-85ff-521f93c9d4a0}
IntuneManagementExtensionProvider,{2aff61a4-4c35-502c-190b-32283cff3ac0}
IPMI Driver Trace,{d5c6a3e9-fa9c-434e-9653-165b4fc869e4}
IPMI Provider Trace,{651d672b-e11f-41b7-add3-c2f6a4023672}
IumTelemetryProvider,{73a33ab2-1966-4999-8add-868c41415269}
K4WSetupInstall,{b99a1709-61cd-4fc2-ad96-7f0fdcca2f98}
KernelDebuggerData,{80336d8c-073d-5b46-225c-b7674d0c20f2}
KernelGeneral,{7614521c-4d0b-4341-bfc9-873082c0f1d3}
KernelProcess,{2839ff94-8f12-4e1b-82e3-af7af77a450f}
KeyboardAutomation,{ce9e6ccd-9d4b-46fd-92b0-deb70ee306ea}
KeyboardInputTelemetry,{a1ba05fa-1a67-48e5-a01b-6c1cdcfdd15c}
KieTelemetryProvider,{5ac16b8a-f1db-42cd-8680-107357b5b675}
KinectTroubleshooter,{b54245e1-05e2-4c91-90bd-e4150fd3e5ec}
KitBuilder.Library.ProcessKitContentBinplaceOptions,{4b264527-7127-5d5e-53ac-5cc284bfe3e5}
KitBuilder.Library.ProcessKitContentSigningOptions,{593ee651-7ab9-5a63-6125-84c616d9ae34}
KitBuilder.Library.ProcessKmlOptions,{7f554698-f1c7-5ea1-4064-e48a62acd488}
KMDFv1 Trace Provider,{544d4c9d-942c-46d5-bf50-df5cd9524a50}
KStudioTelemetry,{16663691-e168-4e24-ba06-63473275b9e5}
Loader42Provider,{3dc7a35b-df0e-4939-9891-1ae6c091b576}
Local Security Authority (LSA),{cc85922f-db41-11d2-9244-006008269001}
LocalStorage,{6a6753d6-867a-4758-bbf4-e21ae3411281}
LocalUserImageProvider,{28806367-794c-4166-a595-0be3fa77e72f}
LoggerTests,{622d7ef6-01b8-5ea7-8598-3e50f64a96f4}
LsaSrv,{199fe037-2b82-40a9-82ac-e1d46c792b99}
LSM,{557d257b-180e-4aae-8f06-86c4e46e9d00}
M.Network.Windows.Notifications.WpnVerboseDiagnostics,{61506cf5-0193-4986-96aa-38111edfacfd}
M.Network.Windows.Search.Indexer.Aggregated.High,{a6d99b05-2407-434f-a1e8-1bdbe45e80d2}
M.Network.Windows.Search.Indexer.Aggregated.Medium,{0e37f868-97ea-4da5-8ddd-aeb56b832726}
M.Network.Windows.Search.Indexer.Aggregated.Normal,{c96cad03-6c26-40c2-90b1-3cffd7e8eb38}
M.Network.Windows.Search.Indexer.WorkAttribueaso,{e118ffab-7209-4444-86b4-6ed6ad0f81d6}
M.Network.Windows.Security.TokenBroker.Aggregated,{339f227c-579c-4259-860c-f810655e6466}
ManageBDETraceLoggingProvider.Bitlocker.ManageBDE,{aa70963a-d6ac-4802-92bb-63ae2d9fd2d0}
ManufacturingPlatformTel,{ba9be01c-eab1-45d0-a190-cdb8b8cf27ea}
MarsComp.ConsoleEntry,{bc072d13-37e2-5fd0-a5a6-c24d4cf61079}
mausbhost,{4f12d26c-64f3-5126-9306-3f16cbe62046}
MBBSettingUX,{f3d10d5a-8291-433d-9275-cdd0067a0022}
